TimeOfDay;DayOfYear;BaseTemperature;BaseHumidity;ActualTemperature;ActualHumidity;PrecipChange;PrecipIntensity;PrecipTemperature;PrecipDuration;CloudCover;Fogginess;WindSpeed;WindDirection;Raining;Thundering;Snowing;GRPT;GWPT;GAPT;CRPT;CWPT;CAPT;GRTPT;GWTPT;CRTPT;CWTPT;TPBT;TPT;TPET;AvgAge;AvgAgeNonzero;MaxAge;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.0539;0.02;0.01915;0.00165;2.0941;0.0291;0.5474;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.02735;0.010125;0.009825;0.0009;0.7699333;0.01443333;0.4933333;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.01845;0.006866667;0.006666666;0.00065;0.4651;0.008720001;0.30192;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.014;0.005225001;0.0051;0.0005124999;0.3701285;0.006271429;0.2197143;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.01134;0.00422;0.00415;0.0004299999;0.2897333;0.004911112;0.1742222;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.009591666;0.003558334;0.003508333;0.0003749999;0.2383363;0.004045455;0.1450727;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.008371428;0.003085715;0.003057143;0.0003428571;0.2028154;0.003446155;0.1250615;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.007412499;0.002731251;0.00274375;0.0003124999;0.17678;0.003000001;0.1103133;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.006677777;0.002472223;0.002477778;0.0002888888;0.1569529;0.002658824;0.09914704;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;NaN;NaN;0.006084999;0.00226;0.002265;0.0002749999;0.1412842;0.002389475;0.09013157;0;0;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.005613635;0.002168182;0.08175909;0.3372546;27.40551;0.0171381;0.4576143;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.005216666;0.002004167;0.07497083;0.3091584;25.02311;0.01565652;0.4198391;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.004892307;0.001876923;0.06923077;0.2853846;23.02188;0.014412;0.387448;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.004614285;0.001767857;0.06432144;0.2650072;21.31713;0.01335185;0.3598778;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.004366666;0.001676667;0.06005334;0.2473467;19.84757;0.01244138;0.3362793;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.004140624;0.001584375;0.05632188;0.2318938;18.56754;0.01164516;0.3155678;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.003935293;0.001505882;0.05302942;0.2182589;17.44273;0.01094848;0.2974606;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.003763888;0.001438889;0.05010279;0.2061389;16.44642;0.01033143;0.2813943;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.003599999;0.001384211;0.04748685;0.1952948;15.55783;0.009781078;0.267073;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;NaN;10000;NaN;0.003454999;0.00133;0.04513;0.1855351;14.76038;0.009287177;0.2543846;0;NaN;0;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.003330951;0.001316667;0.07814524;0.1767905;14.04075;0.00884146;0.2428219;0.001;1;1;
